,Substance,Hcp
0,oxygen,1.2e-05
1,ozone,0.0001
2,hydrogen atom,2.6e-06
3,hydrogen,7.8e-06
4,deuterium,7.9e-06
5,hydroxyl radical,0.38
6,hydroperoxy radical,6.8
7,hydrogen peroxide,910
8,nitrogen,6.4e-06
9,ammonia,0.59
10,hydrazoic acid,0.12
11,hydrazine,16
12,dinitrogen monoxide,0.00024
13,nitrogen monoxide,1.9e-05
14,nitrogen dioxide,9.9e-05
15,nitrogen trioxide,0.00038
16,dinitrogen trioxide,0.0059
17,dinitrogen tetroxide,0.014
18,dinitrogen pentoxide,0.021
19,hydroxylamine,1400
20,nitrous acid,0.48
21,nitric acid,880
22,pernitric acid,0.39
23,fluorine atom,0.0002
24,hydrogen fluoride,130
25,difluorine monoxide,2.9e-05
26,nitrogen trifluoride,7.9e-06
27,dinitrogen tetrafluoride,8.4e-06
28,chlorine (molecular),0.00092
29,chlorine atom,0.023
30,hypochlorous acid,6.5
31,perchloric acid,9900
32,monochlorine monoxide,0.007
33,dichlorine monoxide,0.17
34,chlorine dioxide,0.1
35,nitryl chloride,0.00045
36,chloramine,0.86
37,dichloramine,0.29
38,nitrogen trichloride,0.00099
39,bromine (molecular),0.0072
40,bromine atom,0.012
41,nitryl bromide,0.003
42,bromine chloride,0.0097
43,iodine (molecular),0.028
44,iodine atom,0.00079
45,iodine chloride,1.1
46,iodine bromide,0.24
47,hydrogen sulfide,0.001
48,sulfur dioxide,0.013
49,sulfur hexafluoride,2.4e-06
50,sulfuryl fluoride,8.9e-05
51,helium,3.9e-06
52,neon,4.5e-06
53,argon,1.4e-05
54,krypton,2.5e-05
55,xenon,4.4e-05
56,radon,9.1e-05
57,boric acid,3.8e+06
58,selenium hydride,0.00083
59,phosphorus trihydride,8.1e-05
60,arsenic hydride,8.8e-05
61,mercury,0.0011
62,mercury(II) oxide,32000
63,mercury dihydroxide,130
64,mercury dichloride,1000
65,mercury dibromide,1200
66,mercury diiodide,57
67,methane,1.4e-05
68,ethane,1.9e-05
69,propane,1.5e-05
70,butane,1.2e-05
71,2-methylpropane,9.1e-06
72,pentane,8e-06
73,2-methylbutane,7.2e-06
74,dimethylpropane,2.7e-06
75,hexane,6.1e-06
76,2-methylpentane,5.9e-06
77,3-methylpentane,5.8e-06
78,"2,2-dimethylbutane",5.8e-06
79,"2,3-dimethylbutane",7.7e-06
80,heptane,4.4e-06
81,2-methylhexane,2.9e-06
82,3-methylhexane,4.2e-06
83,"2,2-dimethylpentane",3.1e-06
84,"2,3-dimethylpentane",5.7e-06
85,"2,4-dimethylpentane",3.3e-06
86,"3,3-dimethylpentane",0.54
87,3-ethylpentane,5.3e-06
88,"2,2,3-trimethylbutane",3.2e-06
89,octane,3.1e-06
90,2-methylheptane,2.9e-06
91,3-methylheptane,0.27
92,4-methylheptane,3e-06
93,"2,3-dimethylhexane",3.4e-06
94,"2,4-dimethylhexane",1.9e-06
95,"2,5-dimethylhexane",2.7e-06
96,"3,3-dimethylhexane",2.9e-06
97,"3,4-dimethylhexane",3.8e-06
98,3-ethylhexane,3.7e-06
99,"2,2,3-trimethylpentane",2.7e-06
100,"2,2,4-trimethylpentane",3e-06
101,"2,3,3-trimethylpentane",3.6e-06
102,"2,3,4-trimethylpentane",5.3e-06
103,3-ethyl-2-methylpentane,3.6e-06
104,3-ethyl-3-methylpentane,4.5e-06
105,"2,2,3,3-tetramethylbutane",3.4e-06
106,nonane,2e-06
107,2-methyloctane,1.9e-06
108,3-methyloctane,2.4e-06
109,4-methyloctane,1e-06
110,"2,3-dimethylheptane",2.4e-06
111,"2,2-dimethylheptane",1.4e-06
112,"2,4-dimethylheptane",1.4e-06
113,"2,5-dimethylheptane",1.5e-06
114,"2,6-dimethylheptane",1.2e-06
115,"3,3-dimethylheptane",2.3e-06
116,"3,4-dimethylheptane",2.6e-06
117,"3,5-dimethylheptane",1.5e-06
118,"4,4-dimethylheptane",2.1e-06
119,3-ethylheptane,2.6e-06
120,4-ethylheptane,2.5e-06
121,"2,2,3-trimethylhexane",0.19
122,"2,2,4-trimethylhexane",1.1e-06
123,"2,2,5-trimethylhexane",2.9e-06
124,"2,3,3-trimethylhexane",2.4e-06
125,"2,3,4-trimethylhexane",2.6e-06
126,"2,3,5-trimethylhexane",1.4e-06
127,"2,4,4-trimethylhexane",1.4e-06
128,3-ethyl-2-methylhexane,2.3e-06
129,4-ethyl-2-methylhexane,1.5e-06
130,3-ethyl-3-methylhexane,3.2e-06
131,3-ethyl-4-methylhexane,3.1e-06
132,"2,2,3,3-tetramethylpentane",3.6e-06
133,"2,2,3,4-tetramethylpentane",0.19
