Species,InChIKey,Hcp
oxygen,MYMOFIZGZYHOMD-UHFFFAOYSA-N,1.2E-05
ozone,CBENFWSGALASAD-UHFFFAOYSA-N,1.0E-04
hydrogen atom,YZCKVEUIGOORGS-UHFFFAOYSA-N,2.6E-06
hydrogen,UFHFLCQGNIYNRP-UHFFFAOYSA-N,7.8E-06
deuterium,UFHFLCQGNIYNRP-VVKOMZTBSA-N,7.9E-06
hydroxyl radical,TUJKJAMUKRIRHC-UHFFFAOYSA-N,3.8E-01
hydroperoxy radical,MHAJPDPJQMAIIY-UHFFFAOYSA-M,6.8E+00
hydrogen peroxide,MHAJPDPJQMAIIY-UHFFFAOYSA-N,9.1E+02
nitrogen,IJGRMHOSHXDMSA-UHFFFAOYSA-N,6.4E-06
ammonia,QGZKDVFQNNGYKY-UHFFFAOYSA-N,5.9E-01
hydrazoic acid,JUINSXZKUKVTMD-UHFFFAOYSA-N,1.2E-01
hydrazine,OAKJQQAXSVQMHS-UHFFFAOYSA-N,1.6E+01
dinitrogen monoxide,GQPLMRYTRLFLPF-UHFFFAOYSA-N,2.4E-04
nitrogen monoxide,MWUXSHHQAYIFBG-UHFFFAOYSA-N,1.9E-05
nitrogen dioxide,JCXJVPUVTGWSNB-UHFFFAOYSA-N,9.9E-05
nitrogen trioxide,YPJKMVATUPSWOH-UHFFFAOYSA-N,3.8E-04
dinitrogen trioxide,LZDSILRDTDCIQT-UHFFFAOYSA-N,5.9E-03
dinitrogen tetroxide,WFPZPJSADLPSON-UHFFFAOYSA-N,1.4E-02
dinitrogen pentoxide,ZWWCURLKEXEFQT-UHFFFAOYSA-N,2.1E-02
hydroxylamine,AVXURJPOCDRRFD-UHFFFAOYSA-N,1.4E+03
nitrous acid,IOVCWXUNBOPUCH-UHFFFAOYSA-N,4.8E-01
nitric acid,GRYLNZFGIOXLOG-UHFFFAOYSA-N,8.8E+02
pernitric acid,UUZZMWZGAZGXSF-UHFFFAOYSA-N,3.9E-01
fluorine atom,YCKRFDGAMUMZLT-UHFFFAOYSA-N,2.0E-04
hydrogen fluoride,KRHYYFGTRYWZRS-UHFFFAOYSA-N,1.3E+02
difluorine monoxide,UJMWVICAENGCRF-UHFFFAOYSA-N,2.9E-05
nitrogen trifluoride,GVGCUCJTUSOZKP-UHFFFAOYSA-N,7.9E-06
dinitrogen tetrafluoride,GFADZIUESKAXAK-UHFFFAOYSA-N,8.4E-06
chlorine (molecular),KZBUYRJDOAKODT-UHFFFAOYSA-N,9.2E-04
chlorine atom,ZAMOUSCENKQFHK-UHFFFAOYSA-N,2.3E-02
hydrogen chloride,VEXZGXHMUGYJMC-UHFFFAOYSA-N,1.5E+01
hypochlorous acid,QWPPOHNGKGFGJK-UHFFFAOYSA-N,6.5E+00
perchloric acid,VLTRZXGMWDSKGL-UHFFFAOYSA-N,9.9E+03
monochlorine monoxide,MLWGAEVSWJXOQJ-UHFFFAOYSA-N,7.0E-03
dichlorine monoxide,RCJVRSBWZCNNQT-UHFFFAOYSA-N,1.7E-01
chlorine dioxide,OSVXSBDYLRYLIG-UHFFFAOYSA-N,1.0E-02
nitrosyl chloride,VPCDQGACGWYTMC-UHFFFAOYSA-N,4.9E-04
nitryl chloride,HSSFHZJIMRUXDM-UHFFFAOYSA-M,4.5E-04
chlorine nitrate,XYLGPCWDPLOBGP-UHFFFAOYSA-N,infinit
chloramine,QDHHCQZDFGDHMP-UHFFFAOYSA-N,8.6E-01
dichloramine,JSYGRUBHOCKMGQ-UHFFFAOYSA-N,2.9E-01
nitrogen trichloride,QEHKBHWEUPXBCW-UHFFFAOYSA-N,9.9E-04
bromine (molecular),GDTBXPJZTBHREO-UHFFFAOYSA-N,7.2E-03
bromine atom,WKBOTKDWSSQWDR-UHFFFAOYSA-N,1.2E-02
hydrogen bromide,CPELXLSAUQHCOX-UHFFFAOYSA-N,2.4E-01
hypobromous acid,CUILPNURFADTPE-UHFFFAOYSA-N,1.3E+00
nitryl bromide,SEYAFCXQVVHRPY-UHFFFAOYSA-M,3.0E-03
bromine nitrate,RRTWEEAEXPZMPY-UHFFFAOYSA-N,infinit
bromine chloride,CODNYICXDISAEA-UHFFFAOYSA-N,9.7E-03
iodine (molecular),PNDPGZBMCMUPRI-UHFFFAOYSA-N,2.8E-02
iodine atom,ZCYVEMRRCGMTRW-UHFFFAOYSA-N,7.9E-04
hydrogen iodide,XMBWDFGMSWQBCA-UHFFFAOYSA-N,infinit
hypoiodous acid,GEOVEUCEIQCBKH-UHFFFAOYSA-N,4.1E+00
iodine chloride,QZRGKCOWNLSUDK-UHFFFAOYSA-N,1.1E+00
iodine bromide,CBEQRNSPHCCXSH-UHFFFAOYSA-N,2.4E-01
hydrogen sulfide,RWSOTUBLDIXVET-UHFFFAOYSA-N,1.0E-03
sulfur dioxide,RAHZWNYVWXNFOC-UHFFFAOYSA-N,1.3E-02
sulfur trioxide,AKEJUJNQAAGONA-UHFFFAOYSA-N,infinit
sulfuric acid,QAOWNCQODCNURD-UHFFFAOYSA-N,1.3E+13
sulfur hexafluoride,SFZCNBIFKDRMGX-UHFFFAOYSA-N,2.4E-06
sulfuryl fluoride,OBTWBSRJZRCYQV-UHFFFAOYSA-N,8.9E-05
helium,SWQJXJOGLNCZEY-UHFFFAOYSA-N,3.9E-06
neon,GKAOGPIIYCISHV-UHFFFAOYSA-N,4.5E-06
argon,XKRFYHLGVUSROY-UHFFFAOYSA-N,1.4E-05
krypton,DNNSSWSSYDEUBZ-UHFFFAOYSA-N,2.5E-05
xenon,FHNFHKCVQCLJFQ-UHFFFAOYSA-N,4.4E-05
radon,SYUHGPGVQRZVTB-UHFFFAOYSA-N,9.1E-05
boric acid,KGBXLFKZBHKPEV-UHFFFAOYSA-N,3.8E+06
selenium hydride,BUGBHKTXTAQXES-UHFFFAOYSA-N,8.3E-04
phosphorus trihydride,XYFCBTPGUUZFHI-UHFFFAOYSA-N,8.1E-05
arsenic hydride,RQNWIZPPADIBDY-UHFFFAOYSA-N,8.8E-05
mercury,QSHDDOUJBYECFT-UHFFFAOYSA-N,1.1E-03
mercury(II) oxide,UKWHYYKOEPRTIC-UHFFFAOYSA-N,3.2E+04
mercury dihydroxide,inchikey,1.3E+02
mercury dichloride,LWJROJCJINYWOX-UHFFFAOYSA-L,1.0E+03
mercury dibromide,NGYIMTKLQULBOO-UHFFFAOYSA-L,1.2E+03
mercury diiodide,YFDLHELOZYVNJE-UHFFFAOYSA-L,5.7E+01
methane,VNWKTOKETHGBQD-UHFFFAOYSA-N,1.4E-05
ethane,OTMSDBZUPAUEDD-UHFFFAOYSA-N,1.9E-05
propane,ATUOYWHBWRKTHZ-UHFFFAOYSA-N,1.5E-05
butane,IJDNQMDRQITEOD-UHFFFAOYSA-N,1.2E-05
2-methylpropane,NNPPMTNAJDCUHE-UHFFFAOYSA-N,9.1E-06
pentane,OFBQJSOFQDEBGM-UHFFFAOYSA-N,8.0E-06
2-methylbutane,QWTDNUCVQCZILF-UHFFFAOYSA-N,7.2E-06
dimethylpropane,CRSOQBOWXPBRES-UHFFFAOYSA-N,2.7E-06
hexane,VLKZOEOYAKHREP-UHFFFAOYSA-N,6.1E-06
2-methylpentane,AFABGHUZZDYHJO-UHFFFAOYSA-N,5.9E-06
3-methylpentane,PFEOZHBOMNWTJB-UHFFFAOYSA-N,5.8E-06
"2,2-dimethylbutane",HNRMPXKDFBEGFZ-UHFFFAOYSA-N,5.8E-06
"2,3-dimethylbutane",ZFFMLCVRJBZUDZ-UHFFFAOYSA-N,7.7E-06
heptane,IMNFDUFMRHMDMM-UHFFFAOYSA-N,4.4E-06
2-methylhexane,GXDHCNNESPLIKD-UHFFFAOYSA-N,2.9E-06
3-methylhexane,VLJXXKKOSFGPHI-UHFFFAOYSA-N,4.2E-06
"2,2-dimethylpentane",CXOWYJMDMMMMJO-UHFFFAOYSA-N,3.1E-06
"2,3-dimethylpentane",WGECXQBGLLYSFP-UHFFFAOYSA-N,5.7E-06
"2,4-dimethylpentane",BZHMBWZPUJHVEE-UHFFFAOYSA-N,3.3E-06
"3,3-dimethylpentane",AEXMKKGTQYQZCS-UHFFFAOYSA-N,5.4E-06
3-ethylpentane,AORMDLNPRGXHHL-UHFFFAOYSA-N,5.3E-06
"2,2,3-trimethylbutane",ZISSAWUMDACLOM-UHFFFAOYSA-N,3.2E-06
octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,3.1E-06
2-methylheptane,JVSWJIKNEAIKJW-UHFFFAOYSA-N,2.9E-06
3-methylheptane,LAIUFBWHERIJIH-UHFFFAOYSA-N,2.7E-06
4-methylheptane,CHBAWFGIXDBEBT-UHFFFAOYSA-N,3.0E-06
"2,2-dimethylhexane",FLTJDUOFAQWHDF-UHFFFAOYSA-N,2.6E-06
"2,3-dimethylhexane",JXPOLSKBTUYKJB-UHFFFAOYSA-N,3.4E-06
"2,4-dimethylhexane",HDGQICNBXPAKLR-UHFFFAOYSA-N,1.9E-06
"2,5-dimethylhexane",UWNADWZGEHDQAB-UHFFFAOYSA-N,2.7E-06
"3,3-dimethylhexane",KUMXLFIBWFCMOJ-UHFFFAOYSA-N,2.9E-06
"3,4-dimethylhexane",RNTWWGNZUXGTAX-UHFFFAOYSA-N,3.8E-06
3-ethylhexane,SFRKSDZMZHIISH-UHFFFAOYSA-N,3.7E-06
"2,2,3-trimethylpentane",XTDQDBVBDLYELW-UHFFFAOYSA-N,2.7E-06
"2,2,4-trimethylpentane",NHTMVDHEPJAVLT-UHFFFAOYSA-N,3.0E-06
"2,3,3-trimethylpentane",OKVWYBALHQFVFP-UHFFFAOYSA-N,3.6E-06
"2,3,4-trimethylpentane",RLPGDEORIPLBNF-UHFFFAOYSA-N,5.3E-06
3-ethyl-2-methylpentane,DUPUVYJQZSLSJB-UHFFFAOYSA-N,3.6E-06
3-ethyl-3-methylpentane,GIEZWIDCIFCQPS-UHFFFAOYSA-N,4.5E-06
"2,2,3,3-tetramethylbutane",OMMLUKLXGSRPHK-UHFFFAOYSA-N,3.4E-06
nonane,BKIMMITUMNQMOS-UHFFFAOYSA-N,2.0E-06
