1,2
oxygen,1.2×10−5
O2,1.3 ×10−5
[7782-44-7],1.3×10−5
ozone,1.0×10−4
O3,1.0 ×10−4
[10028-15-6],1.1×10−4
hydrogen atom,2.6 ×10−6
H,2.6 ×10−6
[12385-13-6],
hydrogen,7.8×10−6
H2,7.7×10−6
[1333-74-0],7.9 ×10−6
deuterium,7.9 10−6×
D2,
[7782-39-0],
hydroxyl radical,3.8 10−1×
OH,3.8 ×10−1
[3352-57-6],2.9×10−1
hydroperoxy radical,6.8
HO2,6.8
[3170-83-0],5.7 101×
hydrogen peroxide,9.1 102×
H2O2,8.3 ×102
[7722-84-1],7.6 ×102
nitrogen,6.4×10−6
N2,6.4×10−6
[7727-37-9],6.4×10−6
ammonia,5.9×10−1
NH3,5.9×10−1
[7664-41-7],5.8 10−1×
hydrazoic acid,1.2 10−1×
HN3,9.8×10−2
[7782-79-8],1.2×10−1
hydrazine,1.6 101×
H4N2,
[302-01-2],
dinitrogen monoxide,2.4×10−4
N2O,2.4×10−4
(nitrous oxide; laughing gas),2.4×10−4
[10024-97-2],2.4×10−4
nitrogen monoxide,1.9 10−5×
NO,1.9 ×10−5
(nitric oxide),1.9 10−5×
[10102-43-9],1.9 10−5×
nitrogen dioxide,9.9×10−5
NO2,1.2 ×10−4
[10102-44-0],1.4 10−4×
nitrogen trioxide,3.8×10−4
NO3,3.8×10−4
(nitrate radical),1.8 ×10−2
[12033-49-7],5.9×10−3
dinitrogen trioxide,5.9×10−3
N2O3,2.5×10−1
[10544-73-7],
dinitrogen tetroxide,1.4×10−2
N2O4,2.0×10−2
[10544-72-6],1.6×10−2
dinitrogen pentoxide,2.1×10−2
N2O5,∞
(nitric anhydride),∞
[10102-03-1],
hydroxylamine,1.4 103×
H3NO,
[7803-49-8],
nitrous acid,4.8×10
HNO2,4.7×10−1
[7782-77-6],4.7 10−1×
nitric acid,8.8 102×
HNO3,2.1×103
[7697-37-2],
pernitric acid,3.9 10−1×
HNO4,3.9×101
[26404-66-0],1.2 102×
fluorine atom,2.0×10−4
F,
[14762-94-8],
hydrogen fluoride,1.3×102
HF,
[7664-39-3],
difluorine monoxide,2.9×10−5
F2O,
[7783-41-7],
nitrogen trifluoride,7.9 ×10−6
NF3,7.9 ×10−6
[7783-54-2],8.2 ×10−6
dinitrogen tetrafluoride,8.4 10−6×
N2F4,8.4×10−6
(tetrafluorohydrazine),
[10036-47-2],
chlorine (molecular),9.2 ×10−4
Cl2,9.2×10−4
[7782-50-5],9.0×10−4
chlorine atom,2.3 10−2×
Cl,2.3×10−2
[22537-15-1],2.0 10−3×
hydrogen chloride,
HCl,1.5×101
[7647-01-0],
hypochlorous acid,6.5
HOCl,6.5
[7790-92-3],6.5
perchloric acid,9.9×103
HClO4,
[7601-90-3],
monochlorine monoxide,7.0 10−3×
ClO,7.0×10−3
[14989-30-1],
dichlorine monoxide,1.7 10−1×
Cl2O,1.7×10−1
[7791-21-1],1.7 10−1×
chlorine dioxide,1.0×10
ClO2,1.0×10−2
[10049-04-4],1.0 ×10−2
nitrosyl chloride,>4.9×10−4
NOCl,
[2696-92-6],
nitryl chloride,4.5 10−4×
ClNO2,2.4×10−4
[13444-90-1],3.9 10−4×
chlorine nitrate,∞
ClNO3,
[14545-72-3],
chloramine,8.6 ×10−1
NH2Cl,8.6×10−1
(chloramide),9.2 10−1×
[10599-90-3],
dichloramine,2.9 10−1×
NHCl2,2.9×10−1
(chlorimide),2.8 ×10−1
[3400-09-7],
nitrogen trichloride,9.9×10−4
NCl3,9.9 ×10−4
[10025-85-1],9.9×10−4
bromine (molecular),7.2 10−3×
Br2,7.2 ×10−3
[7726-95-6],1.8×10−2
bromine atom,1.2×10−2
Br,3.4×10−4
[10097-32-2],
hydrogen bromide,
HBr,
[10035-10-6],
hypobromous acid,>1.3
HOBr,>1.3
[13517-11-8],>1.9×101
nitryl bromide,3.0 ×10−3
BrNO2,
[13536-70-4],
bromine nitrate,∞
BrNO3,
[40423-14-1],
bromine chloride,9.7 ×10−3
BrCl,9.7×10−3
[13863-41-7],<6.2 10−2×
iodine (molecular),2.8×10−2
I2,2.8 ×10−2
[7553-56-2],3.0×10−2
iodine atom,7.9×10−4
I,6.2 ×10−5
[14362-44-8],
hydrogen iodide,
