Species,Hcp
oxygen,1.2e-05
ozone,0.0001
hydrogen atom,2.6e-06
hydrogen,7.8e-06
deuterium,7.9e-06
hydroxyl radical,0.38
hydroperoxy radical,6.8
hydrogen peroxide,910
nitrogen,6.4e-06
ammonia,0.59
hydrazoic acid,0.12
hydrazine,16
dinitrogen monoxide,0.00024
nitrogen monoxide,1.9e-05
nitrogen dioxide,9.9e-05
nitrogen trioxide,0.00038
dinitrogen trioxide,0.0059
dinitrogen tetroxide,0.014
dinitrogen pentoxide,0.021
hydroxylamine,1400
nitrous acid,0.48
nitric acid,880
pernitric acid,0.39
fluorine atom,0.0002
hydrogen fluoride,130
difluorine monoxide,2.9e-05
nitrogen trifluoride,7.9e-06
dinitrogen tetrafluoride,8.4e-06
chlorine (molecular)Cl2,0.00092
chlorine atom,0.023
hypochlorous acid,6.5
perchloric acid,9900
monochlorine monoxide,0.007
dichlorine monoxide,0.17
chlorine dioxide,0.1
nitrosyl chloride,0.00049
nitryl chloride,0.00045
chloramine,0.86
dichloramine,0.29
nitrogen trichloride,0.00099
bromine (molecular)Br2,0.0072
bromine atom,0.012
hypobromous acid,1.3
nitryl bromide,0.003
bromine chloride,0.0097
iodine (molecular)I2,0.028
iodine atom,0.00079
hypoiodous acid,4.1
iodine chloride,1.1
iodine bromide,0.24
hydrogen sulfide,0.001
sulfur dioxide,0.013
sulfur hexafluoride,2.4e-06
sulfuryl fluoride,8.9e-05
helium,3.9e-06
neon,4.5e-06
argon,1.4e-05
krypton,2.5e-05
xenon,4.4e-05
radon,9.1e-05
boric acid,3.8e+06
selenium hydride,0.00083
phosphorus trihydride,8.1e-05
arsenic hydride,8.8e-05
mercury,0.0011
mercury(II) oxide,32000
mercury dihydroxide,130
mercury dichloride,1000
mercury dibromide,1200
mercury diiodide,57
methane,1.4e-05
ethane,1.9e-05
propane,1.5e-05
butane,1.2e-05
2-methylpropane,9.1e-06
pentane,8e-06
2-methylbutane,7.2e-06
dimethylpropane,2.7e-06
hexane,6.1e-06
2-methylpentane,5.9e-06
3-methylpentane,5.8e-06
"2,2-dimethylbutane",5.8e-06
"2,3-dimethylbutane",7.7e-06
heptane,4.4e-06
2-methylhexane,2.9e-06
3-methylhexane,4.2e-06
"2,2-dimethylpentane",3.1e-06
"2,3-dimethylpentane",5.7e-06
"2,4-dimethylpentane",3.3e-06
"3,3-dimethylpentane",0.54
3-ethylpentane,5.3e-06
"2,2,3-trimethylbutane",3.2e-06
octane,3.1e-06
2-methylheptane,2.9e-06
3-methylheptane,0.27
4-methylheptane,3e-06
"2,2-dimethylhexane",2.6e+06
"2,3-dimethylhexane",3.4e-06
"2,4-dimethylhexane",1.9e-06
"2,5-dimethylhexane",2.7e-06
"3,3-dimethylhexane",2.9e-06
"3,4-dimethylhexane",3.8e-06
3-ethylhexane,3.7e-06
"2,2,3-trimethylpentane",2.7e-06
"2,2,4-trimethylpentane",3e-06
"2,3,3-trimethylpentane",3.6e-06
"2,3,4-trimethylpentane",5.3e-06
3-ethyl-2-methylpentane,3.6e-06
3-ethyl-3-methylpentane,4.5e-06
"2,2,3,3-tetramethylbutane",3.4e-06
nonane,2e-06
2-methyloctane,1.9e-06
3-methyloctane,2.4e-06
4-methyloctane,1e-06
"2,3-dimethylheptane",2.4e-06
"2,2-dimethylheptane",1.4e-06
"2,4-dimethylheptane",1.4e-06
"2,5-dimethylheptane",1.5e-06
"2,6-dimethylheptane",1.2e-06
"3,3-dimethylheptane",2.3e-06
"3,4-dimethylheptane",2.6e-06
"3,5-dimethylheptane",1.5e-06
"4,4-dimethylheptane",2.1e-06
3-ethylheptane,2.6e-06
4-ethylheptane,2.5e-06
"2,2,3-trimethylhexane",0.19
"2,2,4-trimethylhexane",1.1e-06
"2,2,5-trimethylhexane",2.9e-06
"2,3,3-trimethylhexane",2.4e-06
"2,3,4-trimethylhexane",2.6e-06
"2,3,5-trimethylhexane",1.4e-06
"2,4,4-trimethylhexane",1.4e-06
"3,3,4-trimethylhexane",2.9e+06
3-ethyl-2-methylhexane,2.3e-06
4-ethyl-2-methylhexane,1.5e-06
3-ethyl-3-methylhexane,3.2e-06
3-ethyl-4-methylhexane,3.1e-06
"2,2,3,3-tetramethylpentane",3.6e-06
"2,2,3,4-tetramethylpentane",0.19
"2,2,4,4-tetramethylpentane",9e-07
"2,3,3,4-tetramethylpentane",2.7e-06
"3-ethyl-2,2-dimethylpentane",1.9e-06
"3-ethyl-2,3-dimethylpentane",3.5e-06
"3-ethyl-2,4-dimethylpentane",1.9e-06
decane,1.4e-06
2-methylnonane,1.5e-06
3-methylnonane,1.7e-06
4-methylnonane,1.6e-06
5-methylnonane,0.17
"2,2-dimethyloctane",1.3e-06
"2,3-dimethyloctane",1.7e-06
"2,4-dimethyloctane",1.2e-06
"2,5-dimethyloctane",1.3e-06
"2,6-dimethyloctane",1.2e-06
"2,7-dimethyloctane",1e-06
"3,3-dimethyloctane",1.7e-06
"3,4-dimethyloctane",2e-06
"3,5-dimethyloctane",1.4e-06
"3,6-dimethyloctane",1.3e-06
"4,4-dimethyloctane",1.5e-06
"4,5-dimethyloctane",2.1e-06
3-ethyloctane,2.2e-06
4-ethyloctane,0.24
"2,2,3-trimethylheptane",1.6e-06
"2,2,4-trimethylheptane",1.6e-06
"2,2,5-trimethylheptane",1.6e-06
"2,2,6-trimethylheptane",1.7e-06
"2,3,3-trimethylheptane",1.6e-06
"2,3,4-trimethylheptane",1.6e-06
"2,3,5-trimethylheptane",1.1e-06
"2,3,6-trimethylheptane",1.1e-06
"2,4,4-trimethylheptane",1.1e-06
"2,4,5-trimethylheptane",1.1e-06
