URL,Melting Point
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/70708/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/67222/xml?heading=Melting+Point,175.5 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/67222/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7726/xml?heading=Melting+Point,"111 to 117 °F (NTP, 1992)"
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7726/xml?heading=Melting+Point,47.5 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7726/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/101981569/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/54682895/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/91593/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7529/xml?heading=Melting+Point,-86.3 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7529/xml?heading=Melting+Point,-86.3 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7529/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/20849290/xml?heading=Melting+Point,-35 - +2 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/20849290/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/85663/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/9582/xml?heading=Melting+Point,103.5 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/9582/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/66752/xml?heading=Melting+Point,"-22 °F (USCG, 1999)"
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/66752/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7479/xml?heading=Melting+Point,74.5 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7479/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/9024/xml?heading=Melting+Point,30°C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/9024/xml?heading=Melting+Point,NaN
