Species,InChIKey,Hcp
oxygen,MYMOFIZGZYHOMD-UHFFFAOYSA-N,1.2e-05
ozone,CBENFWSGALASAD-UHFFFAOYSA-N,0.0001
hydrogen atom,YZCKVEUIGOORGS-UHFFFAOYSA-N,2.6e-06
hydrogen,UFHFLCQGNIYNRP-UHFFFAOYSA-N,7.8e-06
deuterium,UFHFLCQGNIYNRP-VVKOMZTBSA-N,7.9e-06
hydroxyl radical,TUJKJAMUKRIRHC-UHFFFAOYSA-N,0.38
hydroperoxy radical,MHAJPDPJQMAIIY-UHFFFAOYSA-M,6.8
hydrogen peroxide,MHAJPDPJQMAIIY-UHFFFAOYSA-N,910.0
nitrogen,IJGRMHOSHXDMSA-UHFFFAOYSA-N,6.4e-06
ammonia,QGZKDVFQNNGYKY-UHFFFAOYSA-N,0.59
hydrazoic acid,JUINSXZKUKVTMD-UHFFFAOYSA-N,0.12
hydrazine,OAKJQQAXSVQMHS-UHFFFAOYSA-N,16.0
dinitrogen monoxide,GQPLMRYTRLFLPF-UHFFFAOYSA-N,0.00024
nitrogen monoxide,MWUXSHHQAYIFBG-UHFFFAOYSA-N,1.9e-05
nitrogen dioxide,JCXJVPUVTGWSNB-UHFFFAOYSA-N,9.9e-05
nitrogen trioxide,YPJKMVATUPSWOH-UHFFFAOYSA-N,0.00038
dinitrogen trioxide,LZDSILRDTDCIQT-UHFFFAOYSA-N,0.0059
dinitrogen tetroxide,WFPZPJSADLPSON-UHFFFAOYSA-N,0.014
dinitrogen pentoxide,ZWWCURLKEXEFQT-UHFFFAOYSA-N,0.021
hydroxylamine,AVXURJPOCDRRFD-UHFFFAOYSA-N,1400.0
nitrous acid,IOVCWXUNBOPUCH-UHFFFAOYSA-N,0.48
nitric acid,GRYLNZFGIOXLOG-UHFFFAOYSA-N,880.0
pernitric acid,UUZZMWZGAZGXSF-UHFFFAOYSA-N,0.39
fluorine atom,YCKRFDGAMUMZLT-UHFFFAOYSA-N,0.0002
hydrogen fluoride,KRHYYFGTRYWZRS-UHFFFAOYSA-N,130.0
difluorine monoxide,UJMWVICAENGCRF-UHFFFAOYSA-N,2.9e-05
nitrogen trifluoride,GVGCUCJTUSOZKP-UHFFFAOYSA-N,7.9e-06
dinitrogen tetrafluoride,GFADZIUESKAXAK-UHFFFAOYSA-N,8.4e-06
chlorine (molecular),KZBUYRJDOAKODT-UHFFFAOYSA-N,0.00092
chlorine atom,ZAMOUSCENKQFHK-UHFFFAOYSA-N,0.023
hydrogen chloride,VEXZGXHMUGYJMC-UHFFFAOYSA-N,15.0
hypochlorous acid,QWPPOHNGKGFGJK-UHFFFAOYSA-N,6.5
perchloric acid,VLTRZXGMWDSKGL-UHFFFAOYSA-N,9900.0
monochlorine monoxide,MLWGAEVSWJXOQJ-UHFFFAOYSA-N,0.007
dichlorine monoxide,RCJVRSBWZCNNQT-UHFFFAOYSA-N,0.17
chlorine dioxide,OSVXSBDYLRYLIG-UHFFFAOYSA-N,0.01
nitrosyl chloride,VPCDQGACGWYTMC-UHFFFAOYSA-N,0.00049
nitryl chloride,HSSFHZJIMRUXDM-UHFFFAOYSA-M,0.00045
chlorine nitrate,XYLGPCWDPLOBGP-UHFFFAOYSA-N,
chloramine,QDHHCQZDFGDHMP-UHFFFAOYSA-N,0.86
dichloramine,JSYGRUBHOCKMGQ-UHFFFAOYSA-N,0.29
nitrogen trichloride,QEHKBHWEUPXBCW-UHFFFAOYSA-N,0.00099
bromine (molecular),GDTBXPJZTBHREO-UHFFFAOYSA-N,0.0072
bromine atom,WKBOTKDWSSQWDR-UHFFFAOYSA-N,0.012
hydrogen bromide,CPELXLSAUQHCOX-UHFFFAOYSA-N,0.24
hypobromous acid,CUILPNURFADTPE-UHFFFAOYSA-N,1.3
nitryl bromide,SEYAFCXQVVHRPY-UHFFFAOYSA-M,0.003
bromine nitrate,RRTWEEAEXPZMPY-UHFFFAOYSA-N,
bromine chloride,CODNYICXDISAEA-UHFFFAOYSA-N,0.0097
iodine (molecular),PNDPGZBMCMUPRI-UHFFFAOYSA-N,0.028
iodine atom,ZCYVEMRRCGMTRW-UHFFFAOYSA-N,0.00079
hydrogen iodide,XMBWDFGMSWQBCA-UHFFFAOYSA-N,
hypoiodous acid,GEOVEUCEIQCBKH-UHFFFAOYSA-N,4.1
iodine chloride,QZRGKCOWNLSUDK-UHFFFAOYSA-N,1.1
iodine bromide,CBEQRNSPHCCXSH-UHFFFAOYSA-N,0.24
hydrogen sulfide,RWSOTUBLDIXVET-UHFFFAOYSA-N,0.001
sulfur dioxide,RAHZWNYVWXNFOC-UHFFFAOYSA-N,0.013
sulfur trioxide,AKEJUJNQAAGONA-UHFFFAOYSA-N,
sulfuric acid,QAOWNCQODCNURD-UHFFFAOYSA-N,13000000000000.0
sulfur hexafluoride,SFZCNBIFKDRMGX-UHFFFAOYSA-N,2.4e-06
sulfuryl fluoride,OBTWBSRJZRCYQV-UHFFFAOYSA-N,8.9e-05
helium,SWQJXJOGLNCZEY-UHFFFAOYSA-N,3.9e-06
neon,GKAOGPIIYCISHV-UHFFFAOYSA-N,4.5e-06
argon,XKRFYHLGVUSROY-UHFFFAOYSA-N,1.4e-05
krypton,DNNSSWSSYDEUBZ-UHFFFAOYSA-N,2.5e-05
xenon,FHNFHKCVQCLJFQ-UHFFFAOYSA-N,4.4e-05
radon,SYUHGPGVQRZVTB-UHFFFAOYSA-N,9.1e-05
boric acid,KGBXLFKZBHKPEV-UHFFFAOYSA-N,3800000.0
selenium hydride,BUGBHKTXTAQXES-UHFFFAOYSA-N,0.00083
phosphorus trihydride,XYFCBTPGUUZFHI-UHFFFAOYSA-N,8.1e-05
arsenic hydride,RQNWIZPPADIBDY-UHFFFAOYSA-N,8.8e-05
mercury,QSHDDOUJBYECFT-UHFFFAOYSA-N,0.0011
mercury(II) oxide,UKWHYYKOEPRTIC-UHFFFAOYSA-N,32000.0
mercury dihydroxide,inchikey,130.0
mercury dichloride,LWJROJCJINYWOX-UHFFFAOYSA-L,1000.0
mercury dibromide,NGYIMTKLQULBOO-UHFFFAOYSA-L,1200.0
mercury diiodide,YFDLHELOZYVNJE-UHFFFAOYSA-L,57.0
methane,VNWKTOKETHGBQD-UHFFFAOYSA-N,1.4e-05
ethane,OTMSDBZUPAUEDD-UHFFFAOYSA-N,1.9e-05
propane,ATUOYWHBWRKTHZ-UHFFFAOYSA-N,1.5e-05
butane,IJDNQMDRQITEOD-UHFFFAOYSA-N,1.2e-05
2-methylpropane,NNPPMTNAJDCUHE-UHFFFAOYSA-N,9.1e-06
pentane,OFBQJSOFQDEBGM-UHFFFAOYSA-N,8e-06
2-methylbutane,QWTDNUCVQCZILF-UHFFFAOYSA-N,7.2e-06
dimethylpropane,CRSOQBOWXPBRES-UHFFFAOYSA-N,2.7e-06
hexane,VLKZOEOYAKHREP-UHFFFAOYSA-N,6.1e-06
2-methylpentane,AFABGHUZZDYHJO-UHFFFAOYSA-N,5.9e-06
