,cp,,,,
Substance,H,,,,
Formula,(at T ),,,,
(Other name(s)),[ mol],,,,
[CAS registry number],m 3 Pa,,,,
,Inorganic,,,,
,,,,,
oxygen,1.2×10−5,,,,
O2,1.3×10−5,,,,
[7782-44-7],1.3×10−5,,,,
,1.3 ×10 −5,,,,
,1.3 ×10 −5,,,,
,1.3 10−5×,,,,
,1.3×10−5,,,,
,1.3×10−5,,,,
,1.2 10−5×,,,,
,1.3 10−5×,,,,
,1.3×10−5,,,,
,1.3×10−5,,,,
,1.2×10−5,,,,
,1.3 10−5×,,,,
ozone,1.0×10−4,,,,
O 3,1.0 ×10 −4,,,,
[10028-15-6],1.1 −4×10,,,,
,1.3 10−4×,,,,
,1.1×10−4,,,,
,1.2 −4×10,,,,
,1.1 10−4×,,,,
,1.3 10−4×,,,,
,1.1 ×10 −4,,,,
,1.0 −6×10,,,,
,1.2 10−4×,,,,
,9.3×10−5,,,,
,9.3 ×10 −5,,,,
,,,,,
hydrogen atom,2.6×10−6,,,,
H,2.6×10−6,,,,
[12385-13-6],,,,,
hydrogen,7.8×10−6,,,,
H2,7.7 × 10−6,,,,
[1333-74-0],7.9×10−6,,,,
,7.7 10−6×,,,,
,7.7×10−6,,,,
,7.7 ×10 −6,,,,
,7.7 10−6×,,,,
deuterium,7.9 10−6×,,,,
D2,,,,,
[7782-39-0],,,,,
,cp,,,,
Substance,H,,,,
Formula,(at T ),,,,
(Other name(s)),[ mol],,,,
[CAS registry number],m 3 Pa,,,,
hydroxyl radical,3.8 ×10−1,,,,
OH,3.8 10−1×,,,,
[3352-57-6],2.9 10−1×,,,,
,3.2×10−1,,,,
,2.9 ×10 −1,,,,
,2.5×10−1,,,,
,2,,,,
,8.9×101,,,,
,2.5 ×10 −1,,,,
hydroperoxy radical,6.8,,,,
HO2,6.8,,,,
[3170-83-0],5.7 101×,,,,
,3.8×101,,,,
,8.9 ×101,,,,
,8.9 101×,,,,
,1.2 101×,,,,
,4.6 ×10 1,,,,
,,,,,
hydrogen peroxide,9.1×102,,,,
H2O2,8.3×102,,,,
[7722-84-1],7.6×102,,,,
,9.8×102,,,,
,1.1×103,,,,
,8.2 102×,,,,
,9.9×102,,,,
,8.5 102×,,,,
,6.7 102×,,,,
,1.4×103,,,,
,9.6×102,,,,
,7.0 ×10 2,,,,
,6.4 101×,,,,
,7.0×102,,,,
,7.0×102,,,,
,,,,,
nitrogen,6.4 10−6×,,,,
N 10−62,6.4 ×,,,,
[7727-37-9],6.4×10−6,,,,
,6.5 10−6×,,,,
,6.5 ×10 −6,,,,
,6.4 ×10 −6,,,,
,5.4×10−6,,,,
,6.6×10−6,,,,
,6.5 ×10 −6,,,,
,6.5 10−6×,,,,
,6.3 10−6×,,,,
,cp,,,,
Substance,H,,,,
Formula,(at T ),,,,
(Other name(s)),[ mol],,,,
[CAS registry number],m 3 Pa,,,,
ammonia,5.9×10−1,,,,
NH 10−13,5.9 ×,,,,
[7664-41-7],5.8 10−1×,,,,
,6.0 10−1×,,,,
,1.0 ×10 −1,,,,
,2.8 10−1×,,,,
,6.0 10−1×,,,,
,5.5 10−1×,,,,
,7.7 10−1×,,,,
,7.4×10−1,,,,
,5.6 10−1×,,,,
,5.7×10−1,,,,
,6.1 10−1×,,,,
,2.7 10−1×,,,,
,5.7 10−1×,,,,
,6.1 10−1×,,,,
,5.8×10−1,,,,
,5.2 10−1×,,,,
hydrazoic acid,1.2 10−1×,,,,
HN3,9.8×10−2,,,,
[7782-79-8],1.2 10−1×,,,,
,9.9×10−2,,,,
hydrazine,1.6×101,,,,
H4N2,,,,,
[302-01-2],,,,,
dinitrogen monoxide,2.4×10−4,,,,
N2O,2.4×10−4,,,,
(nitrous oxide; laughing gas),2.4 10−4×,,,,
[10024-97-2],2.4×10−4,,,,
,1.8×10−4,,,,
,2.5 10−4×,,,,
,2.4 ×10−4,,,,
,2.4×10−4,,,,
,2.4 10−4×,,,,
,,,,,
,,,,,
,2.4 10−4×,,,,
,2.5 10−4×,,,,
,2.5 10−4×,,,,
nitrogen monoxide,1.9 10−5×,,,,
NO,1.9×10−5,,,,
(nitric oxide),1.9×10−5,,,,
[10102-43-9],1.9 10−5×,,,,
,1.3 ×10−5,,,,
,2.3 10−5×,,,,
,1.9 10−5×,,,,
,1.9×10−5,,,,
,cp,,,,
Substance,H,,,,
Formula,(at T ),,,,
(Other name(s)),[ mol],,,,
[CAS registry number],m 3 Pa,,,,
ammonia,5.9×10−1,,,,
NH 10−13,5.9 ×,,,,
[7664-41-7],5.8 10−1×,,,,
,6.0 10−1×,,,,
,1.0 ×10 −1,,,,
,2.8 10−1×,,,,
,6.0 10−1×,,,,
,5.5 10−1×,,,,
,7.7 10−1×,,,,
,7.4×10−1,,,,
,5.6 10−1×,,,,
,5.7×10−1,,,,
,6.1 10−1×,,,,
,2.7 10−1×,,,,
,5.7 10−1×,,,,
,6.1 10−1×,,,,
,5.8×10−1,,,,
,5.2 10−1×,,,,
hydrazoic acid,1.2 10−1×,,,,
HN3,9.8×10−2,,,,
[7782-79-8],1.2 10−1×,,,,
,9.9×10−2,,,,
hydrazine,1.6×101,,,,
H4N2,,,,,
[302-01-2],,,,,
dinitrogen monoxide,2.4×10−4,,,,
N2O,2.4×10−4,,,,
(nitrous oxide; laughing gas),2.4 10−4×,,,,
[10024-97-2],2.4×10−4,,,,
,1.8×10−4,,,,
,2.5 10−4×,,,,
,2.4 ×10−4,,,,
,2.4×10−4,,,,
,2.4 10−4×,,,,
,,,,,
,,,,,
,2.4 10−4×,,,,
,2.5 10−4×,,,,
,2.5 10−4×,,,,
nitrogen monoxide,1.9 10−5×,,,,
NO,1.9×10−5,,,,
(nitric oxide),1.9×10−5,,,,
[10102-43-9],1.9 10−5×,,,,
,1.3 ×10−5,,,,
,2.3 10−5×,,,,
,1.9 10−5×,,,,
,1.9×10−5,,,,
,cp,,,,
Substance,H,,,,
Formula (Other name(s)),[(at T mol) ],,,,
[CAS registry number],m3Pa,,,,
,1.9 ×10 −5,,,,
,1.9 10−5×,,,,
,1.9 10−5×,,,,
,,,,,
,,,,,
,1.9×10−5,,,,
,1.9 10−5×,,,,
,1.9 10−5×,,,,
nitrogen dioxide,9.9×10−5,,,,
NO 10−42,1.2 ×,,,,
[10102-44-0],1.4 10−4×,,,,
,1.2 10−4×,,,,
,1.4×10−4,,,,
,6.9×10−5,,,,
,2.3×10−4,,,,
,1.2 10−4×,,,,
,3.4×10−4,,,,
,9.9×10−5,,,,
,9.9 ×10−5,,,,
,4.0×10−4,,,,
nitrogen trioxide,3.8×10−4,,,,
NO 3,3.8×10−4,,,,
(nitrate radical),1.8×10−2,,,,
[12033-49-7],5.9 ×10−3,,,,
,1.2 10−1×,,,,
,3.4×10−4,,,,
dinitrogen trioxide,5.9 10−3×,,,,
N 10−12 O 3,2.5 ×,,,,
[10544-73-7],,,,,
dinitrogen tetroxide,1.4 ×10−2,,,,
N2O4,2.0×10−2,,,,
[10544-72-6],1.6×10−2,,,,
,3.1 10−2×,,,,
,1.3 10−2×,,,,
dinitrogen pentoxide,2.1 ×10 −2,,,,
N2O5,∞,,,,
(nitric anhydride),∞,,,,
[10102-03-1],,,,,
hydroxylamine,1.4 ×103,,,,
H3NO,,,,,
[7803-49-8],,,,,
,cp,,,,
Substance,H,,,,
Formula (Other name(s)),[(at T mol) ],,,,
[CAS registry number],m3Pa,,,,
,1.9 ×10 −5,,,,
,1.9 10−5×,,,,
,1.9 10−5×,,,,
,,,,,
,,,,,
,1.9×10−5,,,,
,1.9 10−5×,,,,
,1.9 10−5×,,,,
nitrogen dioxide,9.9×10−5,,,,
NO 10−42,1.2 ×,,,,
[10102-44-0],1.4 10−4×,,,,
,1.2 10−4×,,,,
,1.4×10−4,,,,
,6.9×10−5,,,,
,2.3×10−4,,,,
,1.2 10−4×,,,,
,3.4×10−4,,,,
,9.9×10−5,,,,
,9.9 ×10−5,,,,
,4.0×10−4,,,,
nitrogen trioxide,3.8×10−4,,,,
NO 3,3.8×10−4,,,,
(nitrate radical),1.8×10−2,,,,
[12033-49-7],5.9 ×10−3,,,,
,1.2 10−1×,,,,
,3.4×10−4,,,,
dinitrogen trioxide,5.9 10−3×,,,,
N 10−12 O 3,2.5 ×,,,,
[10544-73-7],,,,,
dinitrogen tetroxide,1.4 ×10−2,,,,
N2O4,2.0×10−2,,,,
[10544-72-6],1.6×10−2,,,,
,3.1 10−2×,,,,
,1.3 10−2×,,,,
dinitrogen pentoxide,2.1 ×10 −2,,,,
N2O5,∞,,,,
(nitric anhydride),∞,,,,
[10102-03-1],,,,,
hydroxylamine,1.4 ×103,,,,
H3NO,,,,,
[7803-49-8],,,,,
,cp,,,,
Substance,H,,,,
Formula,(at T ),,,,
(Other name(s)),[ mol],,,,
