0,1,2,3
,,Inor,ganic species
,,O,xygen (O)
,oxygen,1.2×10−5,1700 Warneck and Williams (2012) L
,O2,1.3 ×10−5,1500 Sander et al. (2011) L
,[7782-44-7],1.3×10−5,1500 Sander et al. (2006) L
,,1.3×10−5,1400 Fernández-Prini et al. (2003) L 1
,,1.3 10−5×,1500 Battino et al. (1983) L
,,1.3 ×10−5,1500 Wilhelm et al. (1977) L
,,1.3 10−5×,1400 Rettich et al. (1981) M
,,1.3×10−5,1400 Benson et al. (1979) M
,,1.2 10−5×,1800 Carpenter (1966) M
,,1.3×10−5,1200 Winkler (1891b) M 2
,,1.3 10−5×,"1500 Battino (1981) X 3, 4"
,,1.3×10−5,1500 Battino (1981) X 5
,,1.2 10−5×,1700 Dean (1992) ? 6
,,1.3 10−5×,Seinfeld (1986) ? 7
,ozone,1.0×10−4,2800 Sander et al. (2011) L
,O3,1.0 ×10−4,2800 Sander et al. (2006) L
,[10028-15-6],1.1×10−4,2400 Warneck (2003) L
,,1.3 10−4×,2000 Wilhelm et al. (1977) L
,,1.1×10−4,2300 Gershenzon et al. (2001) M
,,1.2×10−4,1400 Sotelo et al. (1989) M
,,1.1 ×10−4,2300 Kosak-Channing and Helz (1983) M
,,,Roth and Sullivan (1981) M 8
,,1.3 ×10−4,2000 Briner and Perrottet (1939) M
,,1.1×10−4,2600 Chameides (1984) T
,,1.0 10−6×,"Battino (1981) X 5, 9"
,,1.2 ×10−4,Perry and Chilton (1973) X 10
,,9.3 ×10−5,2500 Seinfeld (1986) ? 7
,,9.3×10−5,2500 Hoffmann and Jacob (1984) ? 7
,,H,ydrogen (H)
,hydrogen atom,2.6 ×10−6,Sander et al. (2011) L
,H,2.6 ×10−6,Sander et al. (2006) L
,[12385-13-6],,
,hydrogen,7.8×10−6,530 Fernández-Prini et al. (2003) L 1
,H2,7.7×10−6,490 Wilhelm et al. (1977) L
,[1333-74-0],7.9 ×10−6,500 Winkler (1891a) M
,,7.7×10−6,Hine and Weimar Jr. (1965) R
,,7.7 10−6×,490 Young (1981a) X 3
,,7.7 10−6×,500 Young (1981a) X 5
,,7.7×10−6,640 Dean (1992) ? 6
,deuterium,7.9 10−6×,780 Young (1981a) X 5
,D2,,
,[7782-39-0],,
,hydroxyl radical,3.8 10−1×,Sander et al. (2011) L
,OH,3.8 ×10−1,Sander et al. (2006) L
,[3352-57-6],2.9×10−1,4300 Hanson et al. (1992) T
,,3.2 10−1×,Mozurkewich (1986) T
,,2.9 ×10−1,3100 Berdnikov and Bazhin (1970) T 11
,,2.5 10−1×,Lelieveld and Crutzen (1991) C
,,2.0,Lelieveld and Crutzen (1991) C
,,8.9 ×101,Lelieveld and Crutzen (1991) C
,,2.5×10−1,5300 Jacob (1986) C 12
,hydroperoxy radical,6.8,Sander et al. (2011) L
,HO2,6.8,Sander et al. (2006) L
,[3170-83-0],5.7 101×,Régimbal and Mozurkewich (1997) R
,,3.8 ×101,5900 Hanson et al. (1992) T
,,8.9×101,Weinstein-Lloyd and Schwartz (1991) T
,,8.9 ×101,Chameides (1984) T
,,1.2×101,Schwartz (1984) T 13
,,4.6×101,4800 Berdnikov and Bazhin (1970) T 11
,,,6600 Jacob (1986) E 14
,hydrogen peroxide,9.1 102×,6600 Warneck and Williams (2012) L
,H2O2,8.3 ×102,7600 Sander et al. (2011) L
,[7722-84-1],7.6 ×102,7300 Sander et al. (2006) L
,,9.8×102,6100 Fogg and Sangster (2003) L 15
,,1.1 103×,7000 Huang and Chen (2010) M
,,8.2 ×102,7400 O’Sullivan et al. (1996) M
,,9.9×102,6300 Lind and Kok (1994) M 16
,,,Staffelbach and Kok (1993) M 17
,,8.5 102×,6500 Zhou and Lee (1992) M
,,6.7 ×102,7900 Hwang and Dasgupta (1985) M
,,1.4 ×103,Yoshizumi et al. (1984) M 9
,,9.6 ×102,6600 Chameides (1984) T
,,7.0 102×,7000 Martin and Damschen (1981) T
,,6.4 ×101,Hilal et al. (2008) Q
,,7.0 102×,7300 Seinfeld (1986) ? 7
,,7.0×102,7300 Hoffmann and Jacob (1984) ? 7
,,,Pandis and Seinfeld (1989) W 18
,,N,itrogen (N)
,nitrogen,6.4×10−6,1600 Warneck and Williams (2012) L
,N2,6.4×10−6,1300 Sander et al. (2011) L
,[7727-37-9],6.4×10−6,1300 Sander et al. (2006) L
,,6.5 10−6×,1200 Fernández-Prini et al. (2003) L 1
,,6.5 10−6×,1200 Battino et al. (1984) L
,,6.4 10−6×,1300 Wilhelm et al. (1977) L
,,5.4×10−6,Steward et al. (1973) L 19
,,6.6×10−6,1200 Rettich et al. (1984) M
,,6.5 10−6×,1400 Winkler (1891b) M 2
,,6.5 ×10−6,1200 Battino (1982) X 5
,,6.3 10−6×,1600 Dean (1992) ? 6
,ammonia,5.9×10−1,4200 Sander et al. (2011) L
,NH3,5.9×10−1,4200 Sander et al. (2006) L
,[7664-41-7],5.8 10−1×,4400 Yoo et al. (1986) L
,,6.0 10−1×,4200 Edwards et al. (1978) L
,,1.0 ×10−1,1500 Wilhelm et al. (1977) L
,,2.8×10−1,3200 Shi et al. (1999) M
,,6.0×10−1,4200 Clegg and Brimblecombe (1989) M
,,5.5 ×10−1,4100 Dasgupta and Dong (1986) M
,,7.7 ×10−1,Holzwarth et al. (1984) M
,,7.4×10−1,3700 Hales and Drewes (1979) M
,,5.6 10−1×,4200 Dasgupta and Dong (1986) T
,,5.7×10−1,4100 Chameides (1984) T
,,6.1 10−1×,Van Krevelen et al. (1949) X 20
,,2.7 ×10−1,2100 Dean (1992) ? 6
,,5.7×10−1,Abraham et al. (1990) ?
,,6.1×10−1,4100 Seinfeld (1986) ? 7
,,5.8×10−1,4100 Hoffmann and Jacob (1984) ? 7
,,5.2 ×10−1,Bone et al. (1983) ? 21
,hydrazoic acid,1.2 10−1×,3800 Sander et al. (2011) L 22
,HN3,9.8×10−2,3100 Wilhelm et al. (1977) L
,[7782-79-8],1.2×10−1,3700 Betterton and Robinson (1997) M
,,9.9 10−2×,Templeton and King (1971) M 23
,hydrazine,1.6 101×,HSDB (2015) V
,H4N2,,
,[302-01-2],,
,dinitrogen monoxide,2.4×10−4,2700 Warneck and Williams (2012) L
,N2O,2.4×10−4,2600 Sander et al. (2011) L
,(nitrous oxide; laughing gas),2.4×10−4,2600 Sander et al. (2006) L
,[10024-97-2],2.4×10−4,2600 Wilhelm et al. (1977) L
,,1.8×10−4,Steward et al. (1973) L 19
,,2.5×10−4,2700 Weiss and Price (1980) M
,,2.4 ×10−4,Joosten and Danckwerts (1972) M
,,2.4 10−4×,2500 Young (1981b) X 3
,,2.4 10−4×,"2600 Young (1981b) X 5, 24"
,,,3600 Kühne et al. (2005) Q
,,,2700 Kühne et al. (2005) ?
,,2.4 ×10−4,2800 Dean (1992) ? 6
,,2.5×10−4,Seinfeld (1986) ? 7
,,2.5×10−4,Liss and Slater (1974) ?
,nitrogen monoxide,1.9 10−5×,1600 Warneck and Williams (2012) L
,NO,1.9 ×10−5,1600 Sander et al. (2011) L 25
,(nitric oxide),1.9 10−5×,1600 Sander et al. (2006) L 26
,[10102-43-9],1.9 10−5×,1500 Schwartz and White (1981) L
,,1.3 10−5×,Zafiriou and McFarland (1980) M 27
,,2.3×10−5,Komiyama and Inoue (1980) M 28
,,1.9×10−5,1500 Komiyama and Inoue (1978) M
,,1.9 10−5×,1600 Winkler (1901) M
,,1.9×10,"1400 Young (1981b) X 3, 29"
,,1.9 10−5×,1400 Young (1981b) X 5
,,1.9 10−5×,1700 Loomis (1928) C
,,,1500 Kühne et al. (2005) Q
,,,1600 Kühne et al. (2005) ?
,,1.9 10−5×,1700 Dean (1992) ? 6
,,1.9 ×10−5,Seinfeld (1986) ? 7
,,1.9×10−5,Andrew and Hanson (1961) ?
,,,Wilhelm et al. (1977) W 30
,nitrogen dioxide,9.9×10−5,Warneck and Williams (2012) L
,NO2,1.2 ×10−4,2400 Sander et al. (2011) L
,[10102-44-0],1.4 10−4×,Sander et al. (2006) L
,,1.2 10−4×,Schwartz and White (1981) L
,,1.4×10−4,Cheung et al. (2000) M
,,6.9 10−5×,Lee and Schwartz (1981) M 31
,,2.3×10−4,Komiyama and Inoue (1980) M 28
,,1.2×10−4,2500 Chameides (1984) T
,,3.4×10−4,1800 Berdnikov and Bazhin (1970) T 11
,,9.9 10−5×,Pandis and Seinfeld (1989) ? 32
,,9.9 ×10−5,Seinfeld (1986) ? 7
,,4.0 10−4×,Andrew and Hanson (1961) ?
,nitrogen trioxide,3.8×10−4,Sander et al. (2011) L
,NO3,3.8×10−4,Sander et al. (2006) L
,(nitrate radical),1.8 ×10−2,Thomas et al. (1998) M
,[12033-49-7],5.9×10−3,Rudich et al. (1996) M 33
,,1.2×10−1,1900 Chameides (1986) T
,,3.4 10−4×,2000 Berdnikov and Bazhin (1970) T 11
,,,Jacob (1986) E 34
,,,Seinfeld and Pandis (1998) ? 35
,dinitrogen trioxide,5.9×10−3,Schwartz and White (1981) L
,N2O3,2.5×10−1,Komiyama and Inoue (1978) M
,[10544-73-7],,
,dinitrogen tetroxide,1.4×10−2,Schwartz and White (1981) L
,N2O4,2.0×10−2,Komiyama and Inoue (1980) M 28
,[10544-72-6],1.6×10−2,3500 Komiyama and Inoue (1978) M
,,3.1 10−2×,Andrew and Hanson (1961) M
,,1.3×10−2,1100 Kramers et al. (1961) M
,dinitrogen pentoxide,2.1×10−2,3400 Fried et al. (1994) T 36
,N2O5,∞,Sander and Crutzen (1996) E 37
,(nitric anhydride),∞,Jacob (1986) E 37
,[10102-03-1],,
,hydroxylamine,1.4 103×,HSDB (2015) Q 38
,H3NO,,
,[7803-49-8],,
,nitrous acid,4.8×10,4800 Schwartz and White (1981) L
,HNO2,4.7×10−1,4900 Becker et al. (1998) M
,[7782-77-6],4.7 10−1×,4900 Becker et al. (1996) M
,,4.8 10−1×,4900 Park and Lee (1988) M
,,3.7 10−1×,9000 Komiyama and Inoue (1978) M
,,4.7×10−1,4700 Martin (1984) T
,,4.8×10−1,4800 Chameides (1984) T
,,4.8×10−1,Seinfeld (1986) ? 7
,nitric acid,8.8 102×,Durham et al. (1981) V
,HNO3,2.1×103,8700 Lelieveld and Crutzen (1991) R 39
,[7697-37-2],,Clegg and Brimblecombe (1990) T 40
,,,Brimblecombe and Clegg (1989) T 41
,,,Brimblecombe and Clegg (1988) T 42
,,2.6×104,8700 Chameides (1984) T
,,2.1 ×103,Schwartz and White (1981) T
,,2.1 ×103,Pandis and Seinfeld (1989) ? 43
,,2.1×103,Seinfeld (1986) ? 7
,,3.4×103,8800 Hoffmann and Jacob (1984) ? 7
,pernitric acid,3.9 10−1×,8400 Leu and Zhang (1999) L
,HNO4,3.9×101,Amels et al. (1996) M
,[26404-66-0],1.2 102×,6900 Régimbal and Mozurkewich (1997) T
,,1.4×102,Warneck (1999) C
,,2.0 102×,0 Jacob et al. (1989) C
,,,Möller and Mauersberger (1992) E 44
,,F,luorine (F)
,fluorine atom,2.0×10−4,400 Berdnikov and Bazhin (1970) T 11
,F,,
,[14762-94-8],,
,hydrogen fluoride,1.3×102,Fredenhagen and Wellmann (1932a) M
,HF,,Brimblecombe and Clegg (1989) T 45
,[7664-39-3],,Brimblecombe and Clegg (1988) T 42
,difluorine monoxide,2.9×10−5,Kruis and May (1962) C
,F2O,,
,[7783-41-7],,
,nitrogen trifluoride,7.9 ×10−6,1900 Sander et al. (2011) L
,NF3,7.9 ×10−6,1900 Wilhelm et al. (1977) L
