CID,Melting Point
67222,175.5 °C
7726,"111 to 117 °F (NTP, 1992)"
7726,47.5 °C
7529,-86.3 °C
20849290,-35 - +2 °C
9582,103.5 °C
66752,"-22 °F (USCG, 1999)"
7479,74.5 °C
9024,30°C
643820,<-15 °C
643820,Crystals; mp: 118 °C /Nerol tetrabromide/
643820,Needles from petroleum ether; mp: 84-86 °C /Nerol allophanate/
643820,<-15°C
7153,94.5 °C
7153,93-95 °C
7153,MP: 93-94 °C
7153,94 °C
7374,-56.0 °C
11463,<25°C
3306,208-209
3306,147.5 °C
7212,-2.6 °C
14896,-61.25 °C
14896,-61.5 °C
14896,-78.7°F
787,"91.49 °F (USCG, 1999)"
787,33 °C
787,33°C
5634,24.5 °C
5634,24.5°C
23932,"4752 °F (NIOSH, 2016)"
23932,2622 °C
23932,2617 °C
23932,4752°F
162097,"-4 °F (USCG, 1999)"
7390,"-62 °F (NTP, 1992)"
7390,-52.0 °C
7390,-52 °C
7390,-62.5 °C
7390,-62°F
7413,31.5 °C
7413,31-32°C
7619,85.0 °C
7619,80 °C
11146,"MP: 55 °C (ALPHA), 64.5 °C (BETA'), 73 °C (BETA)"
26370,"2804 °F (NIOSH, 2016)"
7728,"-94.5 °F (USCG, 1999)"
7728,-70.9 °C
7728,-70.3 °C (freezing point)
7728,-70.9°C
7728,-70 °C
5755,235 °C with some decomposition
5755,CRYSTALS FROM ETHANOL; MP: 266-273 °C /TEBUTATE/
5755,235°C
20431,"455 to 460 °F (NTP, 1992)"
20431,235-238 °C
11638,-141.8 °C
7713,98.0 °C
440968,-60.49999999999999 °C
440968,-62°C
24764,-66.0 °C
24764,-66 °C
323,"154 to 158 °F (NTP, 1992)"
323,71.0 °C
323,71 °C
323,71°C
323,68-70 °C
22311,"-40 °F (USCG, 1999)"
22311,-86.4333333333 °C
22311,-95.5 °C
22311,-40°F
121752,7.08 °C
169132,"-76 °F (NTP, 1992)"
169132,Approximately -60 °C
169132,-60 °C
169132,-76°F
7597,83.0 °C
7597,80-81 °C
82916,-56.4 °C
82916,-70 TO -69 °C
3026,"-31 °F (NTP, 1992)"
3026,-35.0 °C
3026,-35 °C
3026,35°C
3026,-31°F
1549789,< -30
5357179,"-0.4 °F (USCG, 1999)"
5357179,-9.25 °C
5357179,-17 °C
6436133,116-119 °C
7115,"415 °F (NIOSH, 2016)"
7115,210.1 °C
7115,"Crumbly, wax-like flakes at room temperature and light amber liquids above the melting point /Commercial terphenyl mixtures/"
7115,415°F
31423,"313 °F (EPA, 1998)"
31423,151.2 °C
31423,150.62 °C
31423,151.2°C
31423,151 °C
31423,313°F
7469,109.5 °C
1757003,<25°C
3613389,"293 to 297 °F (anhydrous) (NTP, 1992)"
3613389,144.0 °C
3613389,80-90 °C /Monohydrate/; 143-145 °C /Anhydrous/
888,651°C
14778,"4662 °F (NIOSH, 2016)"
14778,2613 °C
14778,Lime becomes incandescent when heated to near its melting point (2500 °C)
14778,2570 °C
14778,4662°F
21059,90-91°C
6740,37.8 °C
10992,-94.0 °C
8093,-16.0 °C
8093,-16 °C
8093,Liquid Molar Volume = 0.157391 cu m/kmol; IG Heat of Formation = -3.2160X10+8 J/kmol; Heat of Fusion at melting point = 2.4419X10+7 J/kmol
8093,-16°C
7636,"-130 °F (NTP, 1992)"
7636,-90.0 °C
7636,-90 °C
7636,-130°F
6343,"-234 °F (USCG, 1999)"
6343,-147.8 °C
6343,-144.4 °C
6343,-234°F
6343,-228°F
75427,<25°C
8002,"-170 °F (USCG, 1999)"
8002,-112.4 °C
8002,-112 °C
8002,Heat fusion at melting point = 6.6944X10+6 J/kmol
6977,56.0 °C
6977,56 °C
6977,55 °C
13662,"192 to 194 °F (NTP, 1992)"
13662,90.5 °C
66591,137.5 °C
12217,-73.1 °C
12217,-73.1°C
6594,-158.0 °C
6594,-158.2 °C
6594,-158 °C
17083,"374 to 378 °F (NTP, 1992)"
17083,191.0 °C
9552079,154.5 °C
9552079,134.0 °C
9552079,134 °C
9552079,134°C
88536661,134°C
2713,134°C
5360566,134°C
5353524,134°C
5365543,"-112 °F (USCG, 1999)"
5365543,FP: -80 °C
5365543,-80 °C
5365543,-112°F
6828,"174 °F (NTP, 1992)"
24433,"less than 32 °F (NTP, 1992)"
8363,"75 °F (NTP, 1992)"
8363,24 °C
8363,23.4°C
15098,-97 °C
31193,321°C
8766,-25.9 °C
8326,"491 to 494 °F (NTP, 1992)"
8326,254.5 °C
8326,255-256.5 °C
8326,255 °C
702,"-173.4 °F (NTP, 1992)"
702,-114.1 °C
702,-114.14 °C
702,-114.1°C
702,-114 °C
702,-173°F
9016,"133 °F (NTP, 1992)"
9016,59.0 °C
9016,58-60 °C
9016,55-56°C
12769,93.5 °C
9868,-111.3 °C
9868,-111.8 °C
86266,89.0 °C
11167,"95 to 97 °F (EPA, 1998)"
11167,36.0 °C
11167,36 °C
11167,36°C
11917,122.0 °C
41270,18.0 °C
32898,"less than 140 °F (USCG, 1999)"
32898,FP: LESS THAN 140 °F= LESS THAN 60 °C= LESS  THAN 333 DEG K
32898,7 °C
8469,"less than 32 °F (NTP, 1992)"
8471,"-174.5 °F (NTP, 1992)"
8471,-114.7 °C
8471,-114.7°C
8471,-115 °C
8471,-175°F
1068,"-144 °F (USCG, 1999)"
1068,-98.3 °C
1068,-98.24 °C
1068,-98.3°C
1068,-98 °C
1068,-144°F
