CID,Melting Point,InChIKey
67222,175.5,GPYLCFQEKPUWLD-UHFFFAOYSA-N
7726,47.5,AVPYQKSLYISFPO-UHFFFAOYSA-N
7529,-86.3,JZHGRUMIRATHIU-UHFFFAOYSA-N
9582,103.5,LSQARZALBDFYQZ-UHFFFAOYSA-N
7479,74.5,BGNGWHSBYQYVRX-UHFFFAOYSA-N
9024,30.0,FLUWAIIVLCVEKF-UHFFFAOYSA-N
7153,94.5,WNTGYJSOUMFZEP-UHFFFAOYSA-N
7374,-56.0,YTCGOUNVIAWCMG-UHFFFAOYSA-N
3306,147.5,SQVIAVUSQAWMKL-UHFFFAOYSA-N
7212,-2.6,IRSVDHPYXFLLDS-UHFFFAOYSA-N
14896,-61.25,WTARULDDTDQWMU-UHFFFAOYSA-N
787,33.0,AVXURJPOCDRRFD-UHFFFAOYSA-N
5634,24.5,FRPZMMHWLSIFAZ-UHFFFAOYSA-N
23932,2622.0,ZOKXTWBITQBERF-UHFFFAOYSA-N
7390,-52.0,QCWXDVFBZVHKLV-UHFFFAOYSA-N
7413,31.5,NZNMSOFKMUBTKW-UHFFFAOYSA-N
7619,85.0,MHKLKWCYGIBEQF-UHFFFAOYSA-N
7728,-70.9,NTSLROIKFLNUIJ-UHFFFAOYSA-N
5755,235.0,OIGNJSKKLXVSLS-VWUMJDOOSA-N
11638,-141.8,NBVXSUQYWXRMNV-UHFFFAOYSA-N
7713,98.0,XCSGHNKDXGYELG-UHFFFAOYSA-N
440968,-60.49999999999999,GRWFGVWFFZKLTI-IUCAKERBSA-N
24764,-66.0,UQEAIHBTYFGYIE-UHFFFAOYSA-N
323,71.0,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N
22311,-86.4333333333,XMGQYMWWDOXHJM-UHFFFAOYSA-N
121752,7.08,WEZPLQKRXDBPEP-UHFFFAOYSA-N
169132,-60.0,NIMLQBUJDJZYEJ-UHFFFAOYSA-N
7597,83.0,ROORDVPLFPIABK-UHFFFAOYSA-N
82916,-56.4,VYXHVRARDIDEHS-QGTKBVGQSA-N
3026,-35.0,DOIRQSBPFJWKBE-UHFFFAOYSA-N
