level_0,index,ID,Name,InChI,InChIKey,SMILES,Solubility,SD,Ocurrences,Group,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,LabuteASA,BalabanJ,BertzCT,Species,Hcp,CID,Melting Point,log Hcp,MeltingPointPredicted,PredictedSolValues,ActualSolValues,PredictedHcpValues,ActualHcpValues,rfrMeltingPoint
5,5,A-10,vinyltoluene,"InChI=1S/C9H10/c1-3-9-6-4-5-8(2)7-9/h3-7H,1H2,2H3",JZHGRUMIRATHIU-UHFFFAOYSA-N,Cc1cccc(C=C)c1,-3.1231503041,0.0,1,G1,118.179,2.638020000000001,41.27000000000002,9.0,0.0,0.0,0.0,1.0,46.0,1.0,0.0,0.0,1.0,0.0,55.83662643050253,3.070760681783566,211.03322454352,1-ethenyl-3-methylbenzene,0.0031,7529.0,-86.3,-2.508638306165727,-51.15849161823747,-3.135678756785393,-3.1231503041,-2.5637995647962293,-2.508638306165727,-52.40297679309687
16,16,A-24,2-(4-chloro-2-methylphenoxy)propanoic acid,"InChI=1S/C10H11ClO3/c1-6-5-8(11)3-4-9(6)14-7(2)10(12)13/h3-5,7H,1-2H3,(H,12,13)",WNTGYJSOUMFZEP-UHFFFAOYSA-N,CC(Oc1ccc(Cl)cc1C)C(O)=O,-2.4660307863,0.0606208768005135,4,G5,214.648,2.5003199999999994,53.91480000000002,14.0,2.0,1.0,4.0,3.0,76.0,1.0,0.0,0.0,1.0,46.53,87.26373888571173,2.817664884623791,349.2203893594689,mecoprop,9000.0,7153.0,94.5,3.9542425094393248,127.86547353522023,-2.4562919277457054,-2.4660307863,3.4139155117422977,3.9542425094393248,110.24848116798849
18,18,A-26,1-chloro-3-(trifluoromethyl)benzene,"InChI=1S/C7H4ClF3/c8-6-3-1-2-5(4-6)7(9,10)11/h1-4H",YTCGOUNVIAWCMG-UHFFFAOYSA-N,FC(F)(F)c1cccc(Cl)c1,-3.4115138849,0.0,1,G1,180.556,3.3588000000000005,36.454000000000015,11.0,0.0,0.0,4.0,0.0,60.0,1.0,0.0,0.0,1.0,0.0,66.59621766955395,3.059901692217984,254.1077532761268,1-chloro-3-(trifluoromethyl)benzene,0.00029,7374.0,-56.0,-3.5376020021010435,-72.1333849540172,-3.539270367931654,-3.4115138849,-3.431212587652648,-3.5376020021010435,-63.5091427743013
27,27,A-36,"(1S,5S)-6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane","InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h8-9H,1,4-6H2,2-3H3",WTARULDDTDQWMU-UHFFFAOYSA-N,CC1(C)C2CCC(=C)C1C2,-4.2923134549,1.247787365862471,3,G4,136.238,2.9987000000000013,43.75200000000002,10.0,0.0,0.0,0.0,0.0,56.0,0.0,3.0,3.0,3.0,0.0,63.322464718156304,2.2310808128795734,174.47733175670794,$\beta$-pinene,0.00016,14896.0,-61.25,-3.795880017344075,-44.27821303605241,-4.09966405188588,-4.2923134549,-3.677350947018472,-3.795880017344075,-48.393821761297545
30,30,A-45,hydroxylamine,"InChI=1S/H3NO/c1-2/h2H,1H2",AVXURJPOCDRRFD-UHFFFAOYSA-N,NO,-0.763033718,0.861297999541175,7,G4,33.03,-0.6657000000000002,5.9739,2.0,2.0,2.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,46.25,12.462471862119653,1.0,2.0,hydroxylamine,1400.0,787.0,33.0,3.1461280356782377,32.34418807777843,-0.282211784625565,-0.763033718,2.7841823448332925,3.1461280356782377,1.1116974412309901
40,40,A-58,1-tert-butyl-4-methylbenzene,"InChI=1S/C11H16/c1-9-5-7-10(8-6-9)11(2,3)4/h5-8H,1-4H3",QCWXDVFBZVHKLV-UHFFFAOYSA-N,Cc1ccc(cc1)C(C)(C)C,-4.4720217682,0.0484550064999997,2,G3,148.249,3.292520000000001,49.87900000000003,11.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,0.0,1.0,0.0,69.25611369147998,2.993754788259927,223.21037742768323,4-{\it tert}-butyltoluene,0.00064,7390.0,-52.0,-3.1938200260161125,-17.7305741439191,-4.3423610175192975,-4.4720217682,-3.134385411664626,-3.1938200260161125,-21.148701623763504
67,67,A-111,5-Ethyl-2-methylpyridine,"InChI=1S/C8H11N/c1-3-8-5-4-7(2)9-6-8/h4-6H,3H2,1-2H3",NTSLROIKFLNUIJ-UHFFFAOYSA-N,CCc1ccc(C)nc1,-1.0042604536,0.0,1,G1,121.18299999999998,1.95242,38.35200000000001,9.0,1.0,0.0,1.0,1.0,48.0,1.0,0.0,0.0,1.0,12.89,55.7458774436333,2.881555877646136,176.26405299160075,5-ethyl-2-methylpyridine,0.52,7728.0,-70.9,-0.2839966563652008,-67.07698841078451,-1.3940439330437795,-1.0042604536,-0.0381226675916109,-0.2839966563652008,-43.272975682944555
74,74,A-119,fluoromethane,InChI=1S/CH3F/c1-2/h1H3,NBVXSUQYWXRMNV-UHFFFAOYSA-N,CF,-0.1758743764999999,0.0,1,G1,34.033,0.5857,7.032,2.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,12.904786430755784,1.0,2.0,fluoromethane,0.00061,11638.0,-141.8,-3.214670164989233,-194.40361855458815,-0.8870476118502318,-0.1758743764999999,-3.4831979551751235,-3.214670164989233,-173.82447722197483
84,84,A-139,trimethyl[(trimethylsilyl)oxy]silane,"InChI=1S/C6H18OSi2/c1-8(2,3)7-9(4,5)6/h1-6H3",UQEAIHBTYFGYIE-UHFFFAOYSA-N,C[Si](C)(C)O[Si](C)(C)C,-4.909505216,0.1662473920000002,2,G3,162.38099999999997,2.6728000000000005,47.77700000000003,9.0,1.0,0.0,3.0,2.0,56.0,0.0,0.0,0.0,0.0,9.23,60.68613837789019,3.746417931251032,76.2114326716684,hexamethyldisiloxane,1.3e-06,24764.0,-66.0,-5.886056647693162,-85.59785840299065,-4.0897853493570455,-4.909505216,-3.445062559879816,-5.886056647693162,-41.39646521999289
86,86,A-141,2H-chromen-2-one,InChI=1S/C9H6O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,O=C1Oc2ccccc2C=C1,-1.8860303607,0.6405071007775657,3,G4,146.14499999999998,1.793,42.484000000000016,11.0,2.0,0.0,2.0,0.0,54.0,2.0,0.0,0.0,2.0,30.21,63.07940657528497,2.9353507979720246,428.5108208761056,coumarin,100.0,323.0,71.0,2.0,41.82978652103328,-1.8974515138697092,-1.8860303607,2.1422659793991685,2.0,46.831131433792784
